Description,,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon
"Dow Inc., through its subsidiaries, engages in the provision of various materials science solutions for packaging, infrastructure, mobility, and consumer applications in the United States, Canada, Europe, the Middle East, Africa, India, the Asia Pacific, and Latin America. It operates through Packaging & Specialty Plastics, Industrial Intermediates & Infrastructure, and Performance Materials & Coatings segments. The Packaging & Specialty Plastics segment provides ethylene, and propylene and aromatics products; and polyethylene, polyolefin elastomers, ethylene vinyl acetate, and ethylene propylene diene monomer rubbers for mobility and transportation, consumer, wire and cable, and construction end-markets. The Industrial Intermediates & Infrastructure segment offers purified ethylene and propylene oxides, ethylene and ethanol amines, propylene glycol and polyether polyols, aromatic isocyanates and polyurethane systems, coatings, adhesives, sealants, elastomers, and composites. This segment also provides caustic soda, and ethylene dichloride and vinyl chloride monomers; and cellulose ethers, redispersible latex powders, and acrylic emulsions. The Performance Materials and Coatings segment provides architectural paints and coatings, and industrial coatings that are used in maintenance and protective industries, wood, metal packaging, traffic markings, thermal paper, and leather; and silicon metal, siloxanes, and intermediates used as key materials in manufacturing differentiated downstream silicone products. It also engages in property and casualty insurance, as well as reinsurance business. Dow Inc. was incorporated in 2018 and is headquartered in Midland, Michigan.",,Dow Inc,DOW US,"1,915,314",258,0.27,0.32,93.83MLN,"12,639.42",11/2/2023,United States,Materials,Materials,Equity,Common Stock,Common Stock,--,--,--
"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, operates in the railroad business in the United States. The company offers transportation services for grain and grain products, fertilizers, food and refrigerated products, and coal and renewables to grain processors, animal feeders, ethanol producers, and other agricultural users; petroleum, and liquid petroleum gases; and construction products, industrial chemicals, plastics, forest products, specialized products, metals and ores, soda ash, and sand, as well as finished automobiles, automotive parts, and merchandise in intermodal containers. The company was founded in 1862 and is headquartered in Omaha, Nebraska.",,Union Pacific Corp,UNP US,"430,661",57,0.07,0.31,91.04MLN,"12,049.23",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--
"LyondellBasell Industries N.V. operates as a chemical company in the United States, Germany, Mexico, Italy, Poland, France, Japan, China, the Netherlands, and internationally. The company operates in six segments: Olefins and PolyolefinsAmericas; Olefins and PolyolefinsEurope, Asia, International; Intermediates and Derivatives; Advanced Polymer Solutions; Refining; and Technology. It produces and markets olefins and co-products, polyethylene, and polypropylene; and propylene oxide and derivatives; oxyfuels and related products; and intermediate chemicals, such as styrene monomer, acetyls, ethylene oxide, and ethylene glycol. In addition, the company produce and markets compounding and solutions including polypropylene compounds, engineered plastics, masterbatches, engineered composites, colors and powders, and advanced polymers including catalloy and polybutene-1; and refines heavy, high-sulfur crude oil and other crude oils, as well as refined products, including gasoline and distillates. Further, it develops and licenses chemical and polyolefin process technologies; manufactures and sells polyolefin catalysts; and serves food packaging, home furnishings, automotive components, and paints and coatings applications. The company was incorporated in 2009 and is headquartered in Houston, Texas.",,LyondellBasell Industries NV,LYB US,"987,459",135,0.3,0.31,90.81MLN,"12,414.60",11/2/2023,United States,Materials,Materials,Equity,Common Stock,Common Stock,--,--,--
"Monster Beverage Corporation, through its subsidiaries, engages in development, marketing, sale, and distribution of energy drink beverages and concentrates in the United States and internationally. The company operates through three segments: Finished Product, Concentrate, and Other. It offers carbonated non-carbonated energy drinks, ready-to-drink iced teas and juice drinks, lemonades, juice cocktails, single-serve juices and fruit beverages, ready-to-drink dairy and coffee drinks, energy drinks, sports drinks and single-serve still waters, and sodas that are considered natural, sparkling juices, and flavored sparkling beverages. The company sells its products to full service beverage bottlers/distributors, retail grocery and specialty chains, wholesalers, club stores, drug chains, mass merchandisers, convenience chains, health food distributors, food service customers, and the military; and concentrates and/or beverage bases to authorized bottling and canning operations. It provides its products under the Monster Energy, Monster Energy Ultra, Monster Rehab, Monster Energy Nitro, Java Monster, Punch Monster, Juice Monster, Muscle Monster, Espresso Monster, Monster Hydro Energy Water, Monster Hydro Super Sport, Monster Super Fuel, Monster Dragon Tea, Reign Total Body Fuel, and Reign Inferno Thermogenic Fuel, Reign Storm, True North, NOS, Full Throttle, Burn, Mother, Nalu, Ultra Energy, Play and Power Play (stylized), Relentless, BPM, BU, Gladiator, Samurai, Live+, Predator, and Fury brands. The company was formerly known as Hansen Natural Corporation and changed its name to Monster Beverage Corporation in January 2012. Monster Beverage Corporation was founded in 1985 and is headquartered in Corona, California.",,Monster Beverage Corp,MNST US,"1,713,635",231,0.16,0.3,90.24MLN,"12,164.46",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through four segments: Aerospace, Marine Systems, Combat Systems, and Technologies. The Aerospace segment produces and sells business jets; and offers aircraft maintenance and repair, management, aircraft-on-ground support and completion, charter, staffing, and fixed-base operator services. The Marine Systems segment designs and builds nuclear-powered submarines, surface combatants, and auxiliary ships for the United States Navy and Jones Act ships for commercial customers, as well as builds crude oil and product tankers, and container and cargo ships; provides maintenance, modernization, and lifecycle support services for navy ships; offers and program management, planning, engineering, and design support services for submarine construction programs. The Combat Systems segment manufactures land combat solutions, such as wheeled and tracked combat vehicles, Stryker wheeled combat vehicles, piranha vehicles, weapons systems, munitions, mobile bridge systems with payloads, tactical vehicles, main battle tanks, armored vehicles, and armaments; and offers modernization programs, engineering, support, and sustainment services. The Technologies segment provides information technology solutions and mission support services; mobile communication, computers, and command-and-control mission systems; intelligence, surveillance, and reconnaissance solutions to military, intelligence, and federal civilian customers; cloud computing, artificial intelligence; machine learning; big data analytics; development, security, and operations; and unmanned undersea vehicle manufacturing and assembly services. The company was founded in 1899 and is headquartered in Reston, Virginia.",,General Dynamics Corp,GD US,"363,448",48,0.13,0.3,88.68MLN,"11,712.48",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--
"Charter Communications, Inc. operates as a broadband connectivity and cable operator company serving residential and commercial customers in the United States. The company offers subscription-based internet, video, and mobile and voice services; a suite of broadband connectivity services, including fixed internet, WiFi, and mobile; security suite that protects computers from viruses and spyware, and threats from malicious actors; in-home WiFi, which provides customers with high performance wireless routers and managed WiFi services to enhance their fixed wireless internet experience; out-of-home WiFi; and Spectrum WiFi services. The company also offers voice communications services using voice over internet protocol technology; and broadband communications solutions, such as internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. In addition, it provides mobile services; video programming, static IP and business WiFi, and e-mail and security services; sells local advertising across various platforms for networks, such as TBS, CNN, and ESPN; sells advertising inventory to local sports and news channels; and offers Audience App to create data-driven linear TV campaigns for local advertisers. Further, the company offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and owns and operates regional sports and news networks. It serves approximately 32 million customers in 41 states. The company was founded in 1993 and is headquartered in Stamford, Connecticut.",,Charter Communications Inc Class A,CHTR US,"207,113",27,0.14,0.29,85.46MLN,"11,140.74",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--
"PG&E Corporation, through its subsidiary, Pacific Gas and Electric Company, engages in the sale and delivery of electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, fuel cell, and photovoltaic sources. The company owns and operates interconnected transmission lines; electric transmission substations, distribution lines, transmission switching substations, and distribution substations; and natural gas transmission, storage, and distribution system consisting of distribution pipelines, backbone and local transmission pipelines, and various storage facilities. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California.",,PG&E Corp,PCG US,"5,036,721",0,0.24,0.28,84.42MLN,0,11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--
"O'Reilly Automotive, Inc., together with its subsidiaries, operates as a retailer and supplier of automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States and Mexico. The company provides new and remanufactured automotive hard parts and maintenance items, such as alternators, batteries, brake system components, belts, chassis parts, driveline parts, engine parts, fuel pumps, hoses, starters, temperature control, water pumps, antifreeze, appearance products, engine additives, filters, fluids, lighting products, and oil and wiper blades; and accessories, including floor mats, seat covers, and truck accessories. It also offers auto body paint and related materials, automotive tools, and professional service provider service equipment. In addition, the company provide enhanced services and programs comprising used oil, oil filter, and battery recycling; battery, wiper, and bulb replacement; battery diagnostic testing; electrical and module testing; check engine light code extraction; loaner tool program; drum and rotor resurfacing; custom hydraulic hoses; and professional paint shop mixing and related materials. Further, it offers do-it-yourself and professional service for domestic and imported automobiles, vans, and trucks. The company was founded in 1957 and is headquartered in Springfield, Missouri.",,O'Reilly Automotive Inc,ORLY US,"84,251",12,0.14,0.27,79.88MLN,"11,377.08",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--
"Philip Morris International Inc. operates as a tobacco company working to delivers a smoke-free future and evolving portfolio for the long-term to include products outside of the tobacco and nicotine sector. The company's product portfolio primarily consists of cigarettes and smoke-free products, including heat-not-burn, vapor, and oral nicotine products primarily under the IQOS and ZYN brands; and consumer accessories, such as lighters and matches. It also offers wellness and healthcare products. Philip Morris International Inc. was incorporated in 1987 and is headquartered in Stamford, Connecticut.",,Philip Morris International Inc,PM US,"829,322",111,0.05,0.25,75.42MLN,"10,094.34",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",,Abbott Laboratories,ABT US,"724,229",99,0.04,0.23,69.50MLN,"9,500.04",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"Centene Corporation operates as a healthcare enterprise that provides programs and services to under-insured and uninsured families, commercial organizations, and military families in the United States. It operates in two segments, Managed Care and Specialty Services. The Managed Care segment offers health plan coverage to individuals through government subsidized programs, including Medicaid, the State children's health insurance program, long-term services and support, foster care, and medicare-medicaid plans, which cover dually eligible individuals, as well as aged, blind, or disabled programs. This segment also provides a variety of individual, small group, and large group commercial healthcare products to employers and members. This segment also offers various individual, small group, and large group commercial healthcare products to employers and members. The Specialty Services segment offers behavioral health and employee assistance plans; clinical healthcare, primary care, various specialty services, and a suite of social and other support services; data analytics solutions; administrative services to Military Health System eligible beneficiaries; traditional pharmacy clinical and administrative services as well as specialized pharmacy benefit services through its specialty pharmacy business; and vision and dental health services. This segment provides auxiliary healthcare services and products to state programs, correctional facilities, healthcare organizations, employer groups, and other commercial organizations; and engages in the government contracts business under the TRICARE program and other healthcare related government contracts. The company provides its services through primary and specialty care physicians, hospitals, and ancillary providers. Centene Corporation was founded in 1984 and is headquartered in St. Louis, Missouri.",,Centene Corp,CNC US,"956,733",129,0.18,0.22,65.95MLN,"8,891.97",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"UDR, Inc. (NYSE: UDR), an S&P 500 company, is a leading multifamily real estate investment trust with a demonstrated performance history of delivering superior and dependable returns by successfully managing, buying, selling, developing and redeveloping attractive real estate communities in targeted U.S. markets. As of September 30, 2023, UDR owned or had an ownership position in 60,177 apartment homes including 415 homes under development. For over 51 years, UDR has delivered long-term value to shareholders, the best standard of service to Residents and the highest quality experience for Associates.",,UDR Inc,UDR US,"1,967,962",267,0.6,0.21,63.49MLN,"8,613.42",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--
"Xcel Energy Inc., through its subsidiaries, generates, purchases, transmits, distributes, and sells electricity. It operates through Regulated Electric Utility, Regulated Natural Gas Utility, and All Other segments. The company generates electricity through coal, nuclear, natural gas, hydroelectric, solar, biomass, oil, wood/refuse, and wind energy sources. It also purchases, transports, distributes, and sells natural gas to retail customers, as well as transports customer-owned natural gas. In addition, the company develops and leases natural gas pipelines, and storage and compression facilities; and invests in rental housing projects, as well as procures equipment for the construction of renewable generation facilities. It serves residential, commercial, and industrial customers in the portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. The company was incorporated in 1909 and is headquartered in Minneapolis, Minnesota.",,Xcel Energy Inc,XEL US,"927,189",126,0.17,0.19,56.62MLN,"7,694.82",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--
"VeriSign, Inc., together with its subsidiaries, provides domain name registry services and internet infrastructure that enables internet navigation for various recognized domain names worldwide. The company enables the security, stability, and resiliency of internet infrastructure and services, including providing root zone maintainer services, operating two of the 13 internet root servers; and offering registration services and authoritative resolution for the .com and .net domains, which supports global e-commerce. It also back-end systems for .cc, .gov, .edu, and .name domain names, as well as operates distributed servers, networking, security, and data integrity services. The company was incorporated in 1995 and is headquartered in Reston, Virginia.",,VeriSign Inc,VRSN US,"269,522",36,0.26,0.18,54.00MLN,"7,212.60",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--
"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",,Apple Inc,AAPL US,"303,849",42,0,0.18,53.95MLN,"7,457.94",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--
"Motorola Solutions, Inc. provides public safety and enterprise security solutions in the United States, the United Kingdom, Canada, and internationally. The company operates in two segments, Products and Systems Integration, and Software and Services. The Products and Systems Integration segment offers a portfolio of infrastructure, devices, accessories, and video security devices and infrastructure, as well as the implementation and integration of systems, devices, software, and applications for government, public safety, and commercial customers who operate private communications networks and video security solutions, as well as manage a mobile workforce. Its land mobile radio communications, and video security and access control devices include two-way portable and vehicle-mounted radios, fixed and mobile video cameras, and accessories; radio network core and central processing software, base stations, consoles, and repeaters; and video analytics, network video management hardware and software, and access control solutions. The Software and Services segment provides public safety and enterprise command center, unified communications applications, mobile video equipment, and video software solutions; repair, technical support, and maintenance services; and monitoring, software updates, and cybersecurity services. The company was formerly known as Motorola, Inc. and changed its name to Motorola Solutions, Inc. in January 2011. Motorola Solutions, Inc. was founded in 1928 and is headquartered in Chicago, Illinois.",,Motorola Solutions Inc,MSI US,"190,328",27,0.11,0.18,53.51MLN,"7,591.59",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--
"Dominion Energy, Inc. produces and distributes energy in the United States. It operates through four segments: Dominion Energy Virginia, Gas Distribution, Dominion Energy South Carolina, and Contracted Assets. The Dominion Energy Virginia segment generates, transmits, and distributes regulated electricity to approximately 2.7 million residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Gas Distribution segment is involved in the regulated natural gas sales, transportation, gathering, storage, and distribution operations in Ohio, North Carolina, Utah, southwestern Wyoming, and southeastern Idaho that serve approximately 3.0 million residential, commercial and industrial customers. It also has nonregulated renewable natural gas facilities in operation. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity to approximately 782,000 customers in the central, southern, and southwestern portions of South Carolina; and distributes natural gas to approximately 435,000 residential, commercial, and industrial customers in South Carolina. The Contracted Assets segment is involved in the nonregulated long-term contracted renewable electric generation and solar generation facility development operations; and gas transportation, LNG import, and storage operations, as well as in the liquefaction facility. As of December 31, 2022, the company's portfolio of assets included approximately 31.0 gigawatt of electric generating capacity; 10,600 miles of electric transmission lines; 78,500 miles of electric distribution lines; and 93,500 miles of gas distribution mains and related service facilities. The company was formerly known as Dominion Resources, Inc. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.",,Dominion Energy Inc,D US,"1,281,504",174,0.15,0.18,52.64MLN,"7,147.92",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--
"Kenvue Inc. operates as a consumer health company worldwide. The company operates through three segments: Self Care, Skin Health and Beauty, and Essential Health. The Self Care segment offers cough, cold and allergy, pain care, digestive health, smoking cessation, and other products under the Tylenol, Nicorette, and Zyrtec brands. The Skin Health and Beauty segment provides face and body care, hair care, and sun and other care products under the Neutrogena, Aveeno, and OGX brand names. The Essential Health segment offers oral and baby, women's health, and wound care products under the Listerine, Johnson's, Band-Aid, and Stayfree brands. The company was incorporated in 2022 and is headquartered in Skillman, New Jersey.",,Kenvue Inc,KVUE US,"2,461,863",333,0.13,0.16,47.34MLN,"6,403.59",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"Best Buy Co., Inc. engages in the retail of technology products in the United States and Canada. The company operates in two segments, Domestic and International. Its stores provide computing and mobile phone products, such as desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions; networking products; tablets covering e-readers; smartwatches; and consumer electronics consisting of digital imaging, health and fitness products, home theater, portable audio comprising headphones and portable speakers, and smart home products. The company's stores also offer appliances, such as dishwashers, laundry, ovens, refrigerators, blenders, coffee makers, and vacuums; entertainment products consisting of drones, peripherals, movies, music, and toys, as well as gaming hardware and software, and virtual reality and other software products; and other products, such as baby, food and beverage, luggage, outdoor living, and sporting goods. In addition, it provides consultation, delivery, design, installation, memberships, repair, set-up, technical support, health-related, and warranty-related services. The company offers its products through stores and websites under the Best Buy, Best Buy Ads, Best Buy Business, Best Buy Health, Buy Mobile, CST, Current Health, Geek Squad, Lively, Magnolia, Pacific Kitchen, Home, TechLiquidators, and Yardbird brands, as well as domain names comprising bestbuy.com, currenthealth.com, lively.com, techliquidators.com, yardbird.com, and bestbuy.ca. The company was formerly known as Sound of Music, Inc. Best Buy Co., Inc. was incorporated in 1966 and is headquartered in Richfield, Minnesota.",,Best Buy Co Inc,BBY US,"684,009",93,0.31,0.15,45.38MLN,"6,170.55",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--
"Globe Life Inc., through its subsidiaries, provides various life and supplemental health insurance products, and annuities to lower middle to middle income households in the United States. The company operates through four segments: Life Insurance, Supplemental Health Insurance, Annuities, and Investments. It offers whole, term, and other life insurance products; Medicare supplement and supplemental health insurance products, such as critical illness and accident plans; and single-premium and flexible-premium deferred annuities. The company was formerly known as Torchmark Corporation and changed its name to Globe Life Inc. in August 2019. Globe Life Inc. was incorporated in 1979 and is headquartered in McKinney, Texas.",,Globe Life Inc,GL US,"366,416","19,164",0.39,0.14,42.46MLN,2220000,11/2/2023,United States,Financials,Insurance,Equity,Common Stock,Common Stock,--,--,--
"The TJX Companies, Inc., together with its subsidiaries, operates as an off-price apparel and home fashions retailer in the United States, Canada, Europe, and Australia. It operates through four segments: Marmaxx, HomeGoods, TJX Canada, and TJX International. The company sells family apparel, including footwear and accessories; home fashions, such as home basics, furniture, rugs, lighting products, giftware, soft home products, decorative accessories, tabletop, and cookware, as well as expanded pet, and gourmet food departments; jewelry and accessories; and other merchandise. The TJX Companies, Inc. was incorporated in 1962 and is headquartered in Framingham, Massachusetts.",,TJX Cos Inc/The,TJX US,"470,735",63,0.04,0.14,42.33MLN,"5,664.96",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--
"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. The company provides cigarettes primarily under the Marlboro brand; cigars and pipe tobacco principally under the Black & Mild brand; moist smokeless tobacco products and snus products under the Copenhagen, Skoal, Red Seal, and Husky brands; and on! oral nicotine pouches. It sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. The company was founded in 1822 and is headquartered in Richmond, Virginia.",,Altria Group Inc,MO US,"1,021,364",138,0.06,0.14,41.54MLN,"5,612.46",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and neurodegenerative diseases in the United States, Europe, Germany, Asia, and internationally. The company offers TECFIDERA, VUMERITY, AVONEX, PLEGRIDY, TYSABRI, and FAMPYRA for multiple sclerosis (MS); SPINRAZA for spinal muscular atrophy; ADUHELM to treat Alzheimer's disease; FUMADERM to treat plaque psoriasis; BENEPALI, an etanercept biosimilar referencing ENBREL; IMRALDI, an adalimumab biosimilar referencing HUMIRA; FLIXABI, an infliximab biosimilar referencing REMICADE; and BYOOVIZ, a ranibizumab biosimilar referencing LUCENTIS. It also provides RITUXAN for treating non-Hodgkin's lymphoma, chronic lymphocytic leukemia (CLL), rheumatoid arthritis, two forms of ANCA-associated vasculitis, and pemphigus vulgaris; RITUXAN HYCELA for non-Hodgkin's lymphoma and CLL; GAZYVA to treat CLL and follicular lymphoma; OCREVUS for relapsing MS and primary progressive MS; LUNSUMIO to treat relapsed or refractory follicular lymphoma; glofitamab for non-Hodgkin's lymphoma; and other anti-CD20 therapies. In addition, the company is developing various products for the treatment of MS, Alzheimer's disease and dementia, neuromuscular disorders, Parkinson's disease and movement disorders, neuropsychiatry, immunology related diseases, neurovascular disorders, genetic neurodevelopmental disorders, and biosimilars, which are under various stages of development. Biogen Inc. has collaboration and license agreements with Acorda Therapeutics, Inc.; Alkermes Pharma Ireland Limited; Denali Therapeutics Inc.; Eisai Co., Ltd.; Genentech, Inc.; Neurimmune SubOne AG; Ionis Pharmaceuticals, Inc.; Samsung Bioepis Co., Ltd.; Sangamo Therapeutics, Inc.; and Sage Therapeutics, Inc. The company was founded in 1978 and is headquartered in Cambridge, Massachusetts.",,Biogen Inc,BIIB US,"132,127",18,0.09,0.11,31.96MLN,"4,353.48",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, feature films, and mobile games across various genres and languages. The company provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. The company has approximately 231 million paid members in 190 countries. Netflix, Inc. was incorporated in 1997 and is headquartered in Los Gatos, California.",,Netflix Inc,NFLX US,"74,038",9,0.02,0.11,31.44MLN,"3,822.39",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--
"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of nearly 225,000 communications sites and a highly interconnected footprint of U.S. data center facilities.",,American Tower Corp,AMT US,"154,639",21,0.03,0.1,28.48MLN,"3,867.15",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--
"Medtronic plc develops, manufactures, and sells device-based medical therapies to healthcare systems, physicians, clinicians, and patients worldwide. Its Cardiovascular Portfolio segment offers implantable cardiac pacemakers, cardioverter defibrillators, and cardiac resynchronization therapy devices; cardiac ablation products; insertable cardiac monitor systems; TYRX products; and remote monitoring and patient-centered software. It also provides aortic valves, surgical valve replacement and repair products, endovascular stent grafts and accessories, and transcatheter pulmonary valves; and percutaneous coronary intervention products, percutaneous angioplasty balloons, and products. The company's Medical Surgical Portfolio segment offers surgical stapling devices, vessel sealing instruments, wound closure, electrosurgery products, surgical artificial intelligence and robotic-assisted surgery products, hernia mechanical devices, mesh implants, gynecology and lung products, and various therapies to treat diseases, as well as products in the fields of minimally invasive gastrointestinal and hepatologic diagnostics and therapies, patient monitoring, airway management and ventilation therapies, and renal disease. Its Neuroscience Portfolio segment offers products for spinal surgeons; neurosurgeons; neurologists; pain management specialists; anesthesiologists; orthopedic surgeons; urologists; urogynecologists; interventional radiologists; ear, nose, and throat specialists; and systems that incorporate energy surgical instruments. It also provides image-guided surgery and intra-operative imaging systems and robotic guidance systems used in robot assisted spine procedures; and therapies for vasculature in and around the brain. The company's Diabetes Operating Unit segment offers insulin pumps and consumables, continuous glucose monitoring systems, smart insulin pen systems, and consumables and supplies. The company was founded in 1949 and is headquartered in Dublin, Ireland.",,Medtronic PLC,MDT US,"347,478",48,0.03,0.08,25.05MLN,"3,460.32",11/2/2023,Ireland,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",,McDonald's Corp,MCD US,"92,822",12,0.01,0.08,24.77MLN,"3,202.20",11/2/2023,United States,Consumer Discretionary,Consumer Discretionary Services,Equity,Common Stock,Common Stock,--,--,--
"Autodesk, Inc. provides 3D design, engineering, and entertainment technology solutions worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BuildingConnected, a SaaS preconstruction solution; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry. It sells its products and services to customers directly, as well as through a network of resellers and distributors. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Francisco, California.",,Autodesk Inc,ADSK US,"120,786",15,0.06,0.08,24.07MLN,"2,988.60",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--
