Description,Unnamed: 1,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon,Cosine Similarity
"Vertex Pharmaceuticals Incorporated , biotechnology company , engages developing commercializing therapies treating cystic fibrosis ( CF ) . markets TRIKAFTA/KAFTRIO SYMDEKO/SYMKEVI people CF least one F508del mutation 6 years age older ; ORKAMBI CF homozygous F508del mutation CF patients 2 year older ; KALYDECO treatment patients 4 months older CF mutation responsive ivacaftor , R117H mutation one certain gating mutations . company 's pipeline includes VX-522 , CF mRNA therapeutic designed treat underlying cause CF , Phase 1 clinical trial ; VX-548 , non-opioid medicine treatment acute neuropathic pain Phase 3 clinical trial ; Exa-cel , treatment sickle cell disease transfusion-dependent beta thalassemia Phase 2/3 clinical trial ; VX-864 treatment AAT deficiency , Phase 2 clinical trial . addition , provides VX-147 treatment APOL1-mediated focal segmental glomerulosclerosis co-morbidities , hypertension single Phase 2/3 ; VX- 880 , treatment Type 1 Diabetes Phase 1/2 clinical trial ; VX-970 , Phase 2 clinical trial treatment cancer ; VX-803 VX-984 treatment cancer Phase 1 clinical trial . , sell products specialty pharmacy specialty distributors United States , well retail pharmacies pharmacy chains , hospitals , clinics . Additionally , company collaborations CRISPR Therapeutics AG . ; Moderna , Inc. ; Entrada Therapeutics , Inc. ; Affinia Therapeutics ; Arbor Biotechnologies , Inc. ; Kymera Therapeutics , Inc. ; Mammoth Biosciences , Inc. ; Obsidian Therapeutics , Inc. ; Verve Therapeutics ; Skyhawk Therapeutics ; Ribometrix , Inc. Vertex Pharmaceuticals Incorporated founded 1989 headquartered Boston , Massachusetts .",,Vertex Pharmaceuticals Inc,VRTX US,"1,002,560",135,0.39,1.27,377.51MLN,"50,834.25",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.1661149114370346
"Keysight Technologies , Inc. provides electronic design test solutions commercial communications , networking , aerospace , defense government , automotive , energy , semiconductor , electronic , education industries Americas , Europe , Asia Pacific . Communications Solutions Group segment provides electronic design automation ( EDA ) software ; radio frequency microwave test solutions , related software ; hardware virtual network test platforms software applications , including data center , routing switching , software defined networking , security , encryption ; oscilloscopes , logic serial protocol analyzers , logic-signal sources , arbitrary waveform generators , bit error rate testers ; optical modulation analyzers , optical component analyzers , optical power meters , optical laser source solutions , well resells refurbished used Keysight equipment . company 's Electronic Industrial Solutions Group segment offers design tools ; design verification tools ; digital multimeters , function generators , frequency counters , data acquisition systems , audio analyzers , LCR meters , thermal imagers , source measure units , ultra-high precision device current analyzers , test executive software platforms , well various power supplies comprising AC/DC modular supplies electronically programmable loads . segment also provides printed-circuit-board-assembly testers , integrated circuit parametric testers , sub-nano-meter positioning sub-assemblies ; test measurement products software . company offers product support , technical support , training consulting services . sells products direct sales force , distributors , resellers , manufacturer 's representatives . Keysight Technologies , Inc. founded 1939 headquartered Santa Rosa , California .",,Keysight Technologies Inc,KEYS US,"1,223,759",165,0.69,0.51,150.77MLN,"20,328",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.16602425277233124
"Intuit Inc. provides financial management compliance products services consumers , small businesses , self-employed , accounting professionals United States , Canada , internationally . company operates four segments : Small Business & Self-Employed , Consumer , Credit Karma , ProTax . Small Business & Self-Employed segment provides QuickBooks services , includes financial business management online services desktop software , payroll solutions , time tracking , merchant payment processing solutions , financing small businesses ; Mailchimp services , e-commerce , marketing automation , customer relationship management . segment also offers QuickBooks online services desktop software solutions comprising QuickBooks Online Advanced , cloud-based solution ; QuickBooks Enterprise , hosted solution ; QuickBooks Self-Employed solution ; payment-processing solutions , including credit debit cards , Apple Pay , ACH payment services ; financial supplies financing small businesses , well electronic filing federal state income tax returns . Consumer segment provides TurboTax income tax preparation products services . Credit Karma segment offers consumers personal finance platform provides personalized recommendations home , auto , personal loans , well credit cards insurance products . ProTax segment provides Lacerte , ProSeries , ProFile desktop tax-preparation software products ; ProConnect Tax Online tax products , electronic tax filing service , bank products related services . sells products services various sales distribution channels , including multi-channel shop-and-buy experiences , websites call centers , mobile application stores , retail channels . company founded 1983 headquartered Mountain View , California .",,Intuit Inc,INTU US,"837,474",114,0.3,1.41,419.03MLN,"57,039.90",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.1654605269432068
"Alphabet Inc. offers various products platforms United States , Europe , Middle East , Africa , Asia-Pacific , Canada , Latin America . operates Google Services , Google Cloud , Bets segments . Google Services segment provides products services , including ads , Android , Chrome , hardware , Gmail , Google Drive , Google Maps , Google Photos , Google Play , Search , YouTube . also involved sale apps in-app purchases digital content Google Play store ; Fitbit wearable devices , Google Nest home products , Pixel phones , devices , well provision YouTube non-advertising services . Google Cloud segment offers infrastructure , cybersecurity , data , analytics , AI , machine learning , services ; Google Workspace include cloud-based collaboration tools enterprises , Gmail , Docs , Drive , Calendar , Meet ; services enterprise customers . Bets segment sells health technology internet services . company founded 1998 headquartered Mountain View , California .",,Alphabet Inc Class A,GOOGL US,"2,775,699",375,0.05,1.19,353.87MLN,"47,808.75",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--,0.16536986827850342
"Adobe Inc. , together subsidiaries , operates diversified software company worldwide . operates three segments : Digital Media , Digital Experience , Publishing Advertising . Digital Media segment offers products , services , solutions enable individuals , teams , enterprises create , publish , promote content ; Document Cloud , unified cloud-based document services platform . flagship product Creative Cloud , subscription service allows members access creative products . segment serves content creators , students , workers , marketers , educators , enthusiasts , communicators , consumers . Digital Experience segment provides integrated platform set applications services enable brands businesses create , manage , execute , measure , monetize , optimize customer experiences analytics commerce . segment serves marketers , advertisers , agencies , publishers , merchandisers , merchants , web analysts , data scientists , developers , executives across C-suite . Publishing Advertising segment offers products services , e-learning solutions , technical document publishing , web conferencing , document forms platform , web application development , high-end printing , well Advertising Cloud offerings . company offers products services directly enterprise customers sales force local field offices , well end users app stores website adobe.com . also distributes products services network distributors , value-added resellers , systems integrators , software vendors developers , retailers , original equipment manufacturers . company formerly known Adobe Systems Incorporated changed name Adobe Inc. October 2018 . Adobe Inc. founded 1982 headquartered San Jose , California .",,Adobe Inc,ADBE US,"865,913",117,0.19,1.63,483.79MLN,"65,369.07",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.16411395370960236
"RTX Corporation , aerospace defense company , provides systems services commercial , military , government customers worldwide . operates four segments : Collins Aerospace , Pratt & Whitney , Raytheon Intelligence & Space , Raytheon Missiles & Defense . Collins Aerospace Systems segment offers aerospace defense products , aftermarket service solutions aircraft manufacturers airlines , well regional , business , general aviation ; defense commercial space operations . segment also designs , produces , supports cabin interior , oxygen systems , food beverage preparation , storage galley systems , lavatory wastewater management systems ; airborne intelligence , surveillance reconnaissance systems , test training range systems , crew escape systems , simulation training solutions ; information management services ; aftermarket services include spare parts , overhaul repair , engineering technical support , training fleet management solutions , asset management services . Pratt & Whitney segment supplies aircraft engines commercial , military , business jet , general aviation customers ; produces , sells , services military commercial auxiliary power units . Raytheon Intelligence & Space segment develops provides integrated space , communication , sensor systems , cyber software solutions intelligence , defense , federal , commercial customers . Raytheon Missiles & Defense segment provides end-to-end solutions U.S. foreign government customers designed detect , track , engage threats . company formerly known Raytheon Technologies Corporation changed name RTX Corporation July 2023 . RTX Corporation incorporated 1934 headquartered Arlington , Virginia .",,RTX Corp,RTX US,"2,134,551",288,0.15,0.6,176.70MLN,"23,840.64",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.1638977825641632
"Thermo Fisher Scientific Inc. provides life sciences solutions , analytical instruments , specialty diagnostics , laboratory products biopharma services United States internationally . company 's Life Sciences Solutions segment offers reagents , instruments , consumables biological medical research , discovery , production drugs vaccines , well diagnosis infections diseases ; solutions include biosciences , genetic sciences , clinical next-generation sequencing , bio production pharmaceutical , biotechnology , agricultural , clinical , healthcare , academic , government markets . Analytical Instruments segment provides instruments , consumables , software , services use laboratory , production line , field pharmaceutical , biotechnology , academic , government , environmental , research industrial markets , well clinical laboratories . company 's Specialty Diagnostics segment offers liquid , ready-to-use , lyophilized immunodiagnostic reagent kits , well calibrators , controls , calibration verification fluids ; immunodiagnostics develops , manufactures markets complete bloodtest systems support clinical diagnosis monitoring allergy , asthma autoimmune diseases ; dehydrated prepared culture media , collection transport systems , instrumentation , consumables ; human leukocyte antigen typing testing organ transplant market ; healthcare products . Laboratory Products Biopharma Services segment provides laboratory products , laboratory chemicals , research safety market channel , pharma services clinical research . company offers products services direct sales force , customer-service professionals , electronic commerce , third-party distributors , catalogs . Thermo Fisher Scientific Inc. founded 1956 headquartered Waltham , Massachusetts .",,Thermo Fisher Scientific Inc,TMO US,"414,276",57,0.11,0.63,185.42MLN,"25,511.49",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.16354404389858246
"Accenture plc , professional services company , provides strategy consulting , industry X , song , technology operation services worldwide . company offers application services , including agile transformation , DevOps , application modernization , enterprise architecture , software quality engineering , data management ; intelligent automation comprising robotic process automation , natural language processing , virtual agents ; application management services , well software engineering services ; strategy consulting services ; data analytics strategy , data discovery augmentation , data management beyond , data democratization , industrialized solutions comprising turnkey analytics artificial intelligence ( AI ) solutions ; metaverse ; sustainability services . also provides change management , HR transformation delivery , organization strategy design , talent strategy development , leadership culture services ; digital commerce ; infrastructure services , including cloud infrastructure managed , cloud data center , network , digital workplace , database platforms , service management , cloud infrastructure security services ; data-enabled operating models ; technology consulting AI services ; technology consulting services . addition , company offers engineering R & digitization , smart connected products , product as-a-service enablement , capital projects , intelligent asset management , digital industrial workforce , autonomous robotic systems ; business process outsourcing ; services related technology innovation . , provides cloud , ecosystem , marketing , security , supply chain management , zero-based transformation , customer experience , finance consulting , mergers acquisitions , sustainability services . company collaboration Salesforce , Inc. develop Salesforce Life Sciences Cloud . company founded 1951 based Dublin , Ireland .",,Accenture PLC Class A Ordinary Shares,ACN US,"1,392,291",189,0.21,1.45,428.99MLN,"58,234.68",11/2/2023,Ireland,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.16326704621315002
"United Parcel Service , Inc. , package delivery company , provides transportation delivery , distribution , contract logistics , ocean freight , airfreight , customs brokerage , insurance services . operates two segments , U.S . Domestic Package International Package . U.S . Domestic Package segment offers time-definite delivery letters , documents , small packages , palletized freight air ground services United States . International Package segment provides guaranteed day time-definite international shipping services comprising guaranteed time-definite express options Europe , Asia , Indian sub-continent , Middle East , Africa , Canada , Latin America . company also provides international air ocean freight forwarding , post-sales , mail consulting services . addition , offers truckload brokerage services ; supply chain solutions healthcare life sciences industries ; financial information services ; fulfillment transportation management services . United Parcel Service , Inc. founded 1907 headquartered Atlanta , Georgia .",,United Parcel Service Inc Class B Common Stock,UPS US,"2,223,867",300,0.31,1.07,315.77MLN,"42,597",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--,0.16321861743927002
"United Parcel Service , Inc. , package delivery company , provides transportation delivery , distribution , contract logistics , ocean freight , airfreight , customs brokerage , insurance services . operates two segments , U.S . Domestic Package International Package . U.S . Domestic Package segment offers time-definite delivery letters , documents , small packages , palletized freight air ground services United States . International Package segment provides guaranteed day time-definite international shipping services comprising guaranteed time-definite express options Europe , Asia , Indian sub-continent , Middle East , Africa , Canada , Latin America . company also provides international air ocean freight forwarding , post-sales , mail consulting services . addition , offers truckload brokerage services ; supply chain solutions healthcare life sciences industries ; financial information services ; fulfillment transportation management services . United Parcel Service , Inc. founded 1907 headquartered Atlanta , Georgia .",,Colgate-Palmolive Co,CL US,"4,203,784",570,0.51,1.06,314.44MLN,"42,636",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.16321861743927002
"EOG Resources , Inc. , together subsidiaries , explores , develops , produces , markets crude oil , natural gas natural gas liquids . principal producing areas New Mexico Texas United States ; Republic Trinidad Tobago . company formerly known Enron Oil & Gas Company . EOG Resources , Inc. incorporated 1985 headquartered Houston , Texas",,EOG Resources Inc,EOG US,"1,698,820",231,0.29,0.74,218.55MLN,"29,718.15",11/2/2023,United States,Energy,Oil & Gas,Equity,Common Stock,Common Stock,--,--,--,0.16294287145137787
"Established 1975 , Sun Communities , Inc. became publicly owned corporation December 1993 . Company fully integrated REIT listed New York Stock Exchange symbol : SUI . September 30 , 2023 , Company owned , operated , interest portfolio 670 developed MH , RV Marina properties comprising approximately 180,170 developed sites approximately 48,030 wet slips dry storage spaces U.S. , UK Canada .",,Sun Communities Inc,SUI US,"68,957",9,0.06,0.03,8.03MLN,"1,048.14",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--,0.16217967867851257
"Booking Holdings Inc. provides travel restaurant online reservation related services worldwide . company operates Booking.com , offers online accommodation reservations ; Rentalcars.com provides online rental car reservation services ; Priceline , offer online travel reservation services , consumers hotel , flight , rental car reservation services , well vacation packages , cruises , hotel distribution services . also operates Agoda provides online accommodation reservation services , well flight , ground transportation activities reservation services . addition , company operates KAYAK , online meta-search service allows consumers search compare travel itineraries prices , comprising airline ticket , accommodation reservation , rental car reservation information ; OpenTable booking online restaurant reservations . , offers travel-related insurance products , restaurant management services consumers , travel service providers , restaurants ; advertising services . company formerly known Priceline Group Inc. changed name Booking Holdings Inc. February 2018 . company founded 1997 headquartered Norwalk , Connecticut .",,Booking Holdings Inc,BKNG US,"58,062",9,0.17,0.56,164.82MLN,"25,547.58",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--,0.16176572442054749
"SBA Communications Corporation leading independent owner operator wireless communications infrastructure including towers , buildings , rooftops , distributed antenna systems ( DAS ) small cells . portfolio 39,000 communications sites 16 markets throughout Americas , Africa Philippines , SBA listed NASDAQ symbol SBAC . organization part & P 500 one top Real Estate Investment Trusts ( REITs ) market capitalization .",,SBA Communications Corp,SBAC US,"1,214,748",165,1.12,0.89,264.09MLN,"35,871",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--,0.16176266968250275
"Raymond James Financial , Inc. , diversified financial services company , provides private client group , capital markets , asset management , banking , services individuals , corporations , municipalities United States , Canada , Europe . Private Client Group segment offers investment services , portfolio management services , insurance annuity products , mutual funds ; support third-party product partners , including sales marketing support , well distribution accounting , administrative services ; margin loans ; securities borrowing lending services ; custodial , trade execution , research , support services . Capital Markets segment provides investment banking services , including equity underwriting , debt underwriting , merger acquisition advisory services ; fixed income equity brokerage services . Asset Management segment offers asset management , portfolio management , related administrative services retail institutional clients ; administrative support services , record-keeping . Raymond James Bank segment provides insured deposit accounts ; commercial industrial , commercial real estate ( CRE ) CRE construction , tax-exempt , residential mortgage , securities-based , loans ; loan syndication services ; liquidity management products services . segment engages private equity investments , including invests third-party funds . company founded 1962 headquartered St. Petersburg , Florida .",,Raymond James Financial Inc,RJF US,"3,639","-47,963",0.0,0.0,"361,753",-4770000,11/2/2023,United States,Financials,Financial Services,Equity,Common Stock,Common Stock,--,--,--,0.16093386709690094
"U.S. Bancorp , financial services holding company , provides various financial services individuals , businesses , institutional organizations , governmental entities financial institutions United States . operates Corporate Commercial Banking , Consumer Business Banking , Wealth Management Investment Services , Payment Services , Treasury Corporate Support segments . company offers depository services , including checking accounts , savings accounts , time certificate contracts ; lending services , traditional credit products ; credit card services , lease financing import/export trade , asset-backed lending , agricultural finance , products . addition , provides ancillary services comprising capital markets , treasury management , receivable lock-box collection services corporate governmental entity customers . , company offers asset management fiduciary services individuals , estates , foundations , business corporations , charitable organizations . Additionally , provides investment insurance products customers principally within markets , well fund administration services mutual funds . Furthermore , company provides corporate purchasing card , corporate trust services . company offers merchant processing , investment management , ATM processing , mortgage banking , insurance , brokerage leasing services . U.S. Bancorp founded 1863 headquartered Minneapolis , Minnesota .",,US Bancorp,USB US,"4,618,290",624,0.3,0.54,158.59MLN,"21,428.16",11/2/2023,United States,Financials,Banking,Equity,Common Stock,Common Stock,--,--,--,0.16077959537506104
"Cognizant Technology Solutions Corporation , professional services company , provides consulting technology , outsourcing services North America , Europe , internationally . operates four segments : Financial Services ; Health Sciences ; Products Resources ; Communications , Media Technology . company offers customer experience enhancement , robotic process automation , analytics , AI services areas , digital lending , fraud detection , next generation payments ; shift towards consumerism , outcome-based contracting , digital health , delivering integrated seamless , omni-channel , patient-centered experience ; services drive operational improvements areas , clinical development , pharmacovigilance , manufacturing , well claims processing , enrollment , membership , billing healthcare providers payers , life sciences companies , including pharmaceutical , biotech , medical device companies . also provides solution manufacturers , automakers , retailers travel hospitality companies , well companies providing logistics , energy utility services ; digital content , creation personalized user experience , acceleration digital engineering services communications , media entertainment , education , information services technology companies . company strategic partnership ServiceNow , Inc. accelerate adoption AI-driven automation across industries . company founded 1994 headquartered Teaneck , New Jersey .",,Cognizant Technology Solutions Corp,CTSH US,"3,914,780",531,0.78,0.84,249.18MLN,"33,798.15",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.16027915477752686
EMINI,,S&P500 EMINI FUT EQUITY INDEX 15/DEC/2023 ESZ3,--,-200,0,0.0,0.0,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--,0.15938721597194672
"Intercontinental Exchange , Inc. , together subsidiaries , engages provision market infrastructure , data services , technology solutions financial institutions , corporations , government entities United States , United Kingdom , European Union , Singapore , India , Abu Dhabi , Israel , Canada . operates three segments : Exchanges , Fixed Income Data Services , Mortgage Technology . company operates regulated marketplaces listing , trading , clearing array derivatives contracts financial securities , commodities , interest rates , foreign exchange , equities , well corporate exchange-traded funds ; trading venues , including regulated exchanges clearing houses . also offers energy , agricultural metals , financial futures options ; cash equities equity options , over-the-counter markets , well listings data connectivity services . addition , company provides fixed income data analytic , fixed income execution , CDS clearing , multi-asset class data network services . , offers proprietary comprehensive mortgage origination platform , serves residential mortgage loans ; closing solutions provides customers connectivity mortgage supply chain facilitates secure exchange information ; data analytics services ; Data Service lenders access data origination information . Intercontinental Exchange , Inc. founded 2000 headquartered Atlanta , Georgia .",,Intercontinental Exchange Inc,ICE US,"1,257,768",171,0.22,0.45,133.65MLN,"18,170.46",11/2/2023,United States,Financials,Financial Services,Equity,Common Stock,Common Stock,--,--,--,0.1591280847787857
"AbbVie Inc. discovers , develops , manufactures , sells pharmaceuticals worldwide . company offers Humira , therapy administered injection autoimmune , intestinal Behçet 's diseases , pyoderma gangrenosum ; Skyrizi treat moderate severe plaque psoriasis , psoriatic disease , Crohn 's disease ; Rinvoq , JAK inhibitor treat rheumatoid psoriatic arthritis , ankylosing spondylitis , atopic dermatitis , axial spondyloarthropathy , ulcerative colitis ; Imbruvica treatment adult patients blood cancers ; Venclexta/Venclyxto treat hematological malignancies . also provides facial injectables , plastics regenerative medicine , body contouring , skincare products ; Vraylar depressive disorder ; Duopa Duodopa treat advanced Parkinson 's disease ; Ubrelvy acute treatment migraine without aura adults ; Qulipta episodic migraine . addition , company offers Lumigan/Ganfort Alphagan/Combigan reduction elevated intraocular pressure ( IOP ) patients open angle glaucoma ( OAG ) ocular hypertension ; Restasis , calcineurin inhibitor immunosuppressant indicated increase tear production ; eye care products . , provides Mavyret/Maviret treat chronic hepatitis C virus ( HCV ) genotype 1-6 infection HCV genotype 1 infection ; Creon , pancreatic enzyme therapy ; Lupron treat advanced prostate cancer , endometriosis central precocious puberty , patients anemia caused uterine fibroids ; Linzess/Constella treat irritable bowel syndrome constipation chronic idiopathic constipation ; Synthroid hypothyroidism . collaborations Calico Life Sciences LLC ; REGENXBIO Inc. ; I-Mab Biopharma ; Genmab A/S ; Janssen Biotech , Inc. ; Genentech , Inc. ; California Institute Biomedical Research ( Calibr ) . company incorporated 2012 headquartered North Chicago , Illinois .",,AbbVie Inc,ABBV US,"2,928,225",396,0.17,1.42,419.50MLN,"56,730.96",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.15790270268917084
"Motorola Solutions , Inc. provides public safety enterprise security solutions United States , United Kingdom , Canada , internationally . company operates two segments , Products Systems Integration , Software Services . Products Systems Integration segment offers portfolio infrastructure , devices , accessories , video security devices infrastructure , well implementation integration systems , devices , software , applications government , public safety , commercial customers operate private communications networks video security solutions , well manage mobile workforce . land mobile radio communications , video security access control devices include two-way portable vehicle-mounted radios , fixed mobile video cameras , accessories ; radio network core central processing software , base stations , consoles , repeaters ; video analytics , network video management hardware software , access control solutions . Software Services segment provides public safety enterprise command center , unified communications applications , mobile video equipment , video software solutions ; repair , technical support , maintenance services ; monitoring , software updates , cybersecurity services . company formerly known Motorola , Inc. changed name Motorola Solutions , Inc. January 2011 . Motorola Solutions , Inc. founded 1928 headquartered Chicago , Illinois .",,Motorola Solutions Inc,MSI US,"190,328",27,0.11,0.18,53.51MLN,"7,591.59",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--,0.15734590590000153
"Merck & Co. , Inc. operates healthcare company worldwide . operates two segments , Pharmaceutical Animal Health . Pharmaceutical segment offers human health pharmaceutical products areas oncology , hospital acute care , immunology , neuroscience , virology , cardiovascular , diabetes , well vaccine products , preventive pediatric , adolescent , adult vaccines . Animal Health segment discovers , develops , manufactures , markets veterinary pharmaceuticals , vaccines , health management solutions services , well digitally connected identification , traceability , monitoring products . company serves drug wholesalers retailers , hospitals , government agencies ; managed health care providers , health maintenance organizations , pharmacy benefit managers , institutions ; physicians physician distributors , veterinarians , animal producers . collaborations AstraZeneca PLC ; Bayer AG ; Eisai Co. , Ltd. ; Ridgeback Biotherapeutics LP ; Gilead Sciences , Inc. jointly develop commercialize long-acting treatments HIV , well collaboration Bionomics identify novel a7 nAChR PAMs suitable treatment cognitive disorder ; clinical trial collaboration supply agreement Ankyra Therapeutics evaluate ANK-101 combination KEYTRUDA ( pembrolizumab ) patients advanced solid tumors , well clinical trial collaboration supply agreement Phanes Therapeutics , Inc. evaluate PT886 combination KEYTRUDA treatment claudin 18.2 positive gastric gastroesophageal junction adenocarcinomas , well development commercialization agreement Daiichi Sankyo Company , Limited jointly develop commercialize Daiichi Sankyo 's DXd antibody drug conjugate ( ADC ) candidates . Merck & Co. , Inc. founded 1891 headquartered Rahway , New Jersey .",,Merck & Co Inc,MRK US,"1,575,747",213,0.06,0.55,162.07MLN,"21,907.05",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.15721997618675232
"Mastercard Incorporated , technology company , provides transaction processing payment-related products services United States internationally . facilitates processing payment transactions , including authorization , clearing , settlement , well delivers payment-related products services . company offers integrated products value-added services account holders , merchants , financial institutions , businesses , governments , organizations , programs enable issuers provide consumers credits defer payments ; payment products solutions allow customers access funds deposit accounts ; prepaid programs services ; commercial credit , debit , prepaid payment products solutions . also provides value-added products services comprising cyber intelligence solutions parties transact , well proprietary insights , drawing principled use consumer , merchant data services . addition , company offers analytics , test learn , consulting , managed services , loyalty , processing , payment gateway solutions e-commerce merchants . , provides open banking digital identity platforms services . company offers payment solutions services MasterCard , Maestro , Cirrus . Mastercard Incorporated founded 1966 headquartered Purchase , New York .",,Mastercard Inc Class A Common Stock,MA US,"1,156,156",156,0.12,1.49,442.45MLN,"59,699.64",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.1557992547750473
"Medtronic plc develops , manufactures , sells device-based medical therapies healthcare systems , physicians , clinicians , patients worldwide . Cardiovascular Portfolio segment offers implantable cardiac pacemakers , cardioverter defibrillators , cardiac resynchronization therapy devices ; cardiac ablation products ; insertable cardiac monitor systems ; TYRX products ; remote monitoring patient-centered software . also provides aortic valves , surgical valve replacement repair products , endovascular stent grafts accessories , transcatheter pulmonary valves ; percutaneous coronary intervention products , percutaneous angioplasty balloons , products . company 's Medical Surgical Portfolio segment offers surgical stapling devices , vessel sealing instruments , wound closure , electrosurgery products , surgical artificial intelligence robotic-assisted surgery products , hernia mechanical devices , mesh implants , gynecology lung products , various therapies treat diseases , well products fields minimally invasive gastrointestinal hepatologic diagnostics therapies , patient monitoring , airway management ventilation therapies , renal disease . Neuroscience Portfolio segment offers products spinal surgeons ; neurosurgeons ; neurologists ; pain management specialists ; anesthesiologists ; orthopedic surgeons ; urologists ; urogynecologists ; interventional radiologists ; ear , nose , throat specialists ; systems incorporate energy surgical instruments . also provides image-guided surgery intra-operative imaging systems robotic guidance systems used robot assisted spine procedures ; therapies vasculature around brain . company 's Diabetes Operating Unit segment offers insulin pumps consumables , continuous glucose monitoring systems , smart insulin pen systems , consumables supplies . company founded 1949 headquartered Dublin , Ireland .",,Medtronic PLC,MDT US,"347,478",48,0.03,0.08,25.05MLN,"3,460.32",11/2/2023,Ireland,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.1533128321170807
"ServiceNow , Inc. provides enterprise cloud computing solutions defines , structures , consolidates , manages , automates services enterprises worldwide . company operates platform workflow automation , artificial intelligence , machine learning , robotic process automation , process mining , performance analytics , electronic service catalogs portals , configuration management systems , data benchmarking , encryption , collaboration development tools . also provides information technology ( ) service management applications ; service management product suite enterprise 's employees , customers , partners ; strategic portfolio management product suite ; operations management product connects customer 's physical cloud-based infrastructure ; asset management ; security operations connects internal third party . addition , company offers integrated risk management product manage risk resilience ; environmental , social governance management product ; human resources , legal , workplace service delivery products ; safe workplace suite products ; customer service management product ; field service management applications . , provides App Engine product ; Automation Engine enables application extend workflows ; platform privacy security product ; procurement operations management suite ; professional customer support services . company serves government , financial services , healthcare , telecommunications , manufacturing , services , technology , oil gas , education , consumer products direct sales team resale partners . strategic partnership Celonis help customers identify prioritize processes suitable automation . company formerly known Service-now.com changed name ServiceNow , Inc. May 2012 . company founded 2004 headquartered Santa Clara , California .",,ServiceNow Inc,NOW US,"296,671",39,0.14,0.6,177.83MLN,"23,377.77",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.15306714177131653
"Microsoft Corporation develops supports software , services , devices solutions worldwide . Productivity Business Processes segment offers office , exchange , SharePoint , Microsoft Teams , office 365 Security Compliance , Microsoft viva , Microsoft 365 copilot ; office consumer services , Microsoft 365 consumer subscriptions , Office licensed on-premises , office services . segment also provides LinkedIn ; dynamics business solutions , including Dynamics 365 , set intelligent , cloud-based applications across ERP , CRM , power apps , power automate ; on-premises ERP CRM applications . Intelligent Cloud segment provides server products cloud services , azure cloud services ; SQL windows server , visual studio , system center , related client access licenses , well nuance GitHub ; enterprise services including enterprise support services , industry solutions , nuance professional services . Personal Computing segment offers Windows , including windows OEM licensing non-volume licensing Windows operating system ; Windows commercial comprising volume licensing Windows operating system , windows cloud services , Windows commercial offerings ; patent licensing ; windows Internet Things ; devices , surface , HoloLens , PC accessories . Additionally , segment provides gaming , includes Xbox hardware content , first- third-party content ; Xbox game pass subscriptions , cloud gaming , advertising , third-party disc royalties , cloud services ; search news advertising , includes Bing , Microsoft News Edge , third-party affiliates . company sells products OEMs , distributors , resellers ; directly digital marketplaces , online , retail stores . company founded 1975 headquartered Redmond , Washington .",,Microsoft Corp,MSFT US,"1,432,990",195,0.02,1.68,499.14MLN,"67,922.40",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.15273348987102509
