North,Name,Primary Exchange,Ticker,Parent Comp. Name,Fund Objective,Fund Geographical Focus,Fund Asset Class Focus,General Attribute,Tot Asset US$ (M),Expense Ratio,Avg Dvd Yield,Alpha 1Y-M,Alpha 3Y,Tot Ret 1Y,Tot Ret 3Y,Sharpe 1Y-M,Sharpe 3Y,Beta 1Y-M,Beta 3Y
No,FIRST TRUST SMID CAP RISING,Bolsa Mexican de Valores,SDVY* MM Equity,First Trust ETFs/USA,Mid-cap,United States,Equity,N.A.,1578.224,0.6,3.141,-0.872,,-10.762,,-1.688,,0.044,
No,SPDR S&P HOMEBUILDERS ETF,Bolsa Mexican de Valores,XHB* MM Equity,State Street ETF/USA,Consumer Discretionary,United States,Equity,N.A.,1277.886,0.35,1.211,1.602,0.34,19.176,20.3,0.614,0.023,-0.048,0.446
No,ISHARES USD CORP BOND USD D,Bolsa Mexican de Valores,LQDEN MM Equity,iShares ETFs/Ireland,Corporate,United States,Fixed Income,N.A.,7388.065,0.2,,-0.355,-0.732,-7.108,-35.147,-2.393,-1.226,0.415,0.342
No,FIRST TRUST HEALTH CARE ALPH,Bolsa Mexican de Valores,FXH* MM Equity,First Trust ETFs/USA,Health Care,United States,Equity,N.A.,1196.812,0.61,1.043,-0.018,-0.097,-10.19,-11.809,-1.712,-0.693,0.327,0.326
No,SPDR S&P SEMICONDUCTOR ETF,Bolsa Mexican de Valores,XSD* MM Equity,State Street ETF/USA,Technology,United States,Equity,N.A.,1221.034,0.35,0.742,0.137,0.734,-1.984,24.223,-0.314,0.159,0.087,0.455
No,ISHARES USD CORP ESG-MXNHA,Bolsa Mexican de Valores,SUOMXN MM Equity,iShares ETFs/Ireland,Corporate,United States,Fixed Income,"Socially Responsible,ESG",2273.059,0.17,,0.95,,9.346,,-0.369,,0.45,
No,VANGUARD UTILITIES ETF,Bolsa Mexican de Valores,VPU* MM Equity,Vanguard ETF/USA,Utilities,United States,Equity,N.A.,4706.274,0.1,3.728,-0.525,-0.243,-13.504,-14.658,-1.547,-0.817,0.405,0.361
No,ISHARES USD HY CRP ESG MXNHA,Bolsa Mexican de Valores,DHYMXN MM Equity,iShares ETFs/Ireland,Corporate,United States,Fixed Income,ESG,1288.095,0.27,,0.795,,11.675,,-0.339,,0.009,
No,FIRST TRUST ENERGY ALPHADEX,Bolsa Mexican de Valores,FXN* MM Equity,First Trust ETFs/USA,Energy,United States,Equity,N.A.,689.413,0.64,2.978,0.237,0.2,3.05,5.857,-5.684,-5.812,-0.016,-0.012
No,ISHARES S&P SMALL-CAP 600 GR,Bolsa Mexican de Valores,IJT* MM Equity,iShares ETFs/USA,Small-cap,United States,Equity,N.A.,4689.543,0.18,1.588,-0.938,0.2,-7.648,2.407,-2.145,-0.277,-0.26,0.049
No,INVESCO TAXABLE MUNICIPAL BO,Bolsa Mexican de Valores,BAB* MM Equity,Invesco ETFs/USA,Municipals,United States,Fixed Income,N.A.,1466.697,0.28,,0.221,0.114,2.669,4.501,-317.74,-2.965,0.002,-0.047
No,ISHARES CORE S&P TOTAL U.S.,Bolsa Mexican de Valores,ITOT* MM Equity,iShares ETFs/USA,Broad Market,United States,Equity,N.A.,43674.918,0.03,1.59,-0.111,0.047,3.989,7.369,-2.258,-0.298,0.464,0.812
No,VANGUARD DIVIDEND APPREC ETF,Bolsa Mexican de Valores,VIG* MM Equity,Vanguard ETF/USA,Large-cap,United States,Equity,N.A.,67139.672,0.06,2.005,0.087,0.079,-3.548,6.446,-1.827,-0.374,0.629,0.794
No,ISHARES EURO CORP LARGE CAP,Bolsa Mexican de Valores,IBCXN MM Equity,iShares ETFs/Ireland,Corporate,European Region,Fixed Income,N.A.,2817.124,0.2,,-2.551,-1.448,-31.803,-36.641,-1.179,-1.055,-0.526,-0.362
No,AM US TREAS BOND 0-1Y MXNH2,Bolsa Mexican de Valores,PR1MXN MM Equity,Amundi ETFs/France,Government,United States,Fixed Income,N.A.,101.633,0.08,,-0.212,,11.749,,0.249,,1.178,
No,ISHARES ESG USD EM BD MXN-HA,Bolsa Mexican de Valores,EMEMXN MM Equity,iShares ETFs/Ireland,Fixed Income Emerging Market,Global,Fixed Income,ESG,2524.996,0.5,,1.12,,13.66,,0.13,,0.65,
No,VANGUARD CONSUMER DISCRE ETF,Bolsa Mexican de Valores,VCR* MM Equity,Vanguard ETF/USA,Consumer Discretionary,United States,Equity,N.A.,4415.183,0.1,0.975,0.1,-0.199,0.846,-6.642,-0.911,-0.475,0.513,0.755
No,ISHARES GLOBAL INFRASTRUCTUR,Bolsa Mexican de Valores,IGF* MM Equity,iShares ETFs/USA,Thematic,Global,Equity,N.A.,3396.287,0.41,4.156,-0.293,-0.042,-7.937,0.591,-1.934,-0.713,0.68,0.642
No,VANGUARD MID-CAP ETF,Bolsa Mexican de Valores,VO* MM Equity,Vanguard ETF/USA,Mid-cap,United States,Equity,N.A.,51381.078,0.04,1.802,-1.788,-0.038,-16.703,-3.129,-2.422,-0.973,-0.404,-0.154
No,VANGUARD COMMUNICATION SERVI,Bolsa Mexican de Valores,VOX* MM Equity,Vanguard ETF/USA,Communications Sector,United States,Equity,N.A.,3173.279,0.1,1.026,0.307,-0.073,14.494,-12.844,0.192,-0.64,0.738,0.868
No,LYXOR MSCI WORLD FINANC,Bolsa Mexican de Valores,FINWN MM Equity,Amundi ETFs/France,Financial,Global,Equity,N.A.,515.583,0.3,3.188,0,,0,,,,0,
No,AMUNDI MSCI SEMICONDUCTORS E,Bolsa Mexican de Valores,CHIPN MM Equity,Amundi ETFs/France,Technology,Global,Equity,ESG,142.832,0.35,0.911,0,,0,,,,0,
No,INVESCO CEF INCOME COMPOSITE,Bolsa Mexican de Valores,PCEF* MM Equity,Invesco ETFs/USA,Conservative Allocation,United States,Mixed Allocation,N.A.,641.673,1.99,1.361,0.578,0.586,7.174,23.087,-31.095,-0.455,-0.001,0.025
No,SPDR MSCI USA STRATEGICFACTO,Bolsa Mexican de Valores,QUS* MM Equity,State Street ETF/USA,Broad Market,United States,Equity,N.A.,1014.998,0.15,1.922,3.762,1.51,40.963,47.521,0.916,0.351,-1.943,-0.328
No,ISHARES MSCI EAFE ETF,Bolsa Mexican de Valores,EFA* MM Equity,iShares ETFs/USA,International,International,Equity,N.A.,46350.211,0.33,3.478,0.432,-0.082,4.593,-6.089,-0.062,-0.529,0.993,0.842
No,ISHARES GLB TMBR&FRSTRY USDA,Bolsa Mexican de Valores,WOOAXN MM Equity,iShares ETFs/Ireland,Materials,Global,Equity,ESG,159.588,0.65,4.245,-0.207,,-7.759,,-1.583,,0.795,
No,FIRST TRUST LARGE CAP GROWTH,Bolsa Mexican de Valores,FTC* MM Equity,First Trust ETFs/USA,Large-cap,United States,Equity,N.A.,944.246,0.59,1.057,0.081,0.05,1.087,1.811,-19.831,-18.443,-0.013,-0.007
No,FIRST TRUST MORN DVD LEAD IN,Bolsa Mexican de Valores,FDL* MM Equity,First Trust ETFs/USA,Large-cap,United States,Equity,N.A.,3892.534,0.45,5.637,-0.533,-0.036,-9.869,11.593,-2.082,-0.177,0.596,0.741
No,SPDR S&P 500 ETF TRUST,Bolsa Mexican de Valores,SPY* MM Equity,State Street ETF/USA,Large-cap,United States,Equity,N.A.,399797,0.094,1.607,-0.038,0.023,5.587,10.782,-1.288,-0.155,0.883,0.983
No,ISHARES MSCI UNITED KINGDOM,Bolsa Mexican de Valores,EWU* MM Equity,iShares ETFs/USA,United Kingdom,United Kingdom,Equity,N.A.,2602.952,0.5,4.105,-0.044,-0.038,2.312,13.802,-0.495,-0.049,1.093,1.036
No,ISHARES ASIA IG CORP USD ACC,Bolsa Mexican de Valores,ASIGN MM Equity,iShares ETFs/Ireland,Corporate,Asian Pacific Region ex Japan,Fixed Income,ESG,276.788,0.2,,0,,0,,,,0,
No,VANECK LOW CARBON ENERGY ETF,Bolsa Mexican de Valores,SMOG* MM Equity,VanEck ETFs/USA,Energy,Global,Equity,Environmentally Friendly,145.787,0.61,2.028,-2.825,1.061,-29.974,-4.927,-1.702,-0.024,-0.071,0.574
No,GLOBAL X LITHIUM & BATTERY T,Bolsa Mexican de Valores,LIT* MM Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,2185.223,0.75,2.006,0.481,0.099,-34.819,-9.781,-1.415,-0.123,0.997,0.987
No,ISHARES IBOXX INVESTMENT GRA,Bolsa Mexican de Valores,LQD* MM Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,29134.08,0.14,,-0.114,-0.014,-5.9,-31.144,-2.231,-1.933,0.867,0.996
No,ISHARES MSCI SWEDEN ETF,Bolsa Mexican de Valores,EWD* MM Equity,iShares ETFs/USA,Sweden,Sweden,Equity,N.A.,313.333,0.54,3.385,0.571,-0.119,4.789,-16.621,-0.412,-0.579,0.654,0.748
No,SPDR MSCI ACWI CLIMATE PARIS,Bolsa Mexican de Valores,NZAC* MM Equity,State Street ETF/USA,Global,Global,Equity,Environmentally Friendly,234.552,0.12,1.899,0.127,1.36,1.524,49.749,-9.826,0.371,-0.006,-0.44
No,GLOBAL X INTERNET OF THINGS,Bolsa Mexican de Valores,SNSR* MM Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,266.362,0.68,1.33,0.964,0.189,5.024,0.722,-0.008,-0.242,0.168,0.67
No,ISHARES GLOBAL WATER USD ACC,Bolsa Mexican de Valores,IH20XN MM Equity,iShares ETFs/Ireland,Utilities,Global,Equity,ESG,1947.063,0.65,2.156,0,,0,,,,0,
No,GLOBAL X FINTECH ETF,Bolsa Mexican de Valores,FINX* MM Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,319.572,0.68,0.631,0.133,-0.381,-8.797,-57.868,-1.021,-0.971,0.999,0.919
No,GLOBAL X ROBOTICS & ARTIFICI,Bolsa Mexican de Valores,BOTZ* MM Equity,Global X ETFs/USA,Thematic,Global,Equity,N.A.,1997.252,0.69,0.772,0.01,-0.234,10.557,-29.905,-0.182,-0.76,1.073,0.928
No,FIRST TRUST CONSUMER STAPLES,Bolsa Mexican de Valores,FXG* MM Equity,First Trust ETFs/USA,Consumer Staples,United States,Equity,N.A.,508.714,0.64,1.943,-0.046,0.409,-8.243,15.168,-2.496,-0.311,0.518,0.049
No,AMUNDI CAC 40 ESG,Bolsa Mexican de Valores,C40N MM Equity,Amundi ETFs/France,European Region,European Region,Equity,ESG,797.695,0.25,3.133,0.397,0.257,3.929,8.179,-1.949,-0.384,-0.066,0.032
No,DIREXION DAILY MSCI BRAZIL B,Bolsa Mexican de Valores,BRZU* MM Equity,Direxion ETFs/USA,Brazil,Brazil,Equity,N.A.,116.447,1.26,2.32,-0.597,-0.133,-10.304,21.974,-0.703,0.222,1.515,1.992
No,AMUNDI USD FLOATING RATE COR,Bolsa Mexican de Valores,AFLTN MM Equity,Amundi ETFs/France,Corporate,International,Fixed Income,ESG,622.81,0.18,,0,-0.018,0,-3.431,,-1.376,0,0.276
No,FIRST TRUST UTILITIES ALPHAD,Bolsa Mexican de Valores,FXU* MM Equity,First Trust ETFs/USA,Utilities,United States,Equity,N.A.,232.912,0.64,4.022,0.252,0.232,3.08,8.688,-6.115,-4.211,-0.001,-0.012
No,FIRST TRUST NATURAL GAS ETF,Bolsa Mexican de Valores,FCG* MM Equity,First Trust ETFs/USA,Energy,United States,Equity,N.A.,563.824,0.6,3.6,-0.449,1.752,-10.256,201.476,-0.564,1.224,0.11,0.404
No,WISDOMTREE TRUST WISDOMTREE,Bolsa Mexican de Valores,AGZD* MM Equity,WisdomTree ETFs/USA,Aggregate Bond,United States,Fixed Income,N.A.,202.801,0.23,,-0.554,,-9.205,,-0.747,,-0.022,
No,WISDOMTREE GLOBAL EX-US QUAL,Bolsa Mexican de Valores,DNL* MM Equity,WisdomTree ETFs/USA,International,International,Equity,N.A.,569.985,0.42,3.072,0.128,,1.557,,-13.911,,0.002,
No,GX US INFRA DEVELP UCITS,Bolsa Mexican de Valores,PAVEUN MM Equity,Global X ETFs ICAV,Industrials,North American Region,Equity,N.A.,241.551,0.47,1.24,0,,0,,,,0,
No,INVESCO FTSE RAFI US 1000 ET,Bolsa Mexican de Valores,PRF* MM Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,5919.857,0.39,2.458,0.024,1.332,0.456,38.527,-1.571,0.252,-0.064,-0.341
No,ISHARES GLOBAL MATERIALS ETF,Bolsa Mexican de Valores,MXI* MM Equity,iShares ETFs/USA,Materials,Global,Equity,N.A.,250.249,0.41,3.524,0.781,0.797,9.393,26.884,-0.064,0.124,0.481,0.319
No,FIRST TRUST DOW J SELECT MIC,Bolsa Mexican de Valores,FDM* MM Equity,First Trust ETFs/USA,Small-cap,United States,Equity,N.A.,146.718,0.6,2.53,0.154,1.125,1.896,59.436,-11.492,0.394,-0.002,0.726
No,FIRST TRUST SMALL CAP CORE A,Bolsa Mexican de Valores,FYX* MM Equity,First Trust ETFs/USA,Small-cap,United States,Equity,N.A.,752.477,0.6,2.271,0.075,2.524,0.999,114.35,-24.245,0.634,-0.007,0.478
No,EM INTRNET & ECOMM UCITS ETF,Bolsa Mexican de Valores,EMQQN MM Equity,HANetf ICAV,Emerging Markets,Global,Equity,N.A.,175.298,0.86,0.527,0,,0,,,,0,
No,SPDR GLOBAL DOW ETF,Bolsa Mexican de Valores,DGT* MM Equity,State Street ETF/USA,Global,Global,Equity,N.A.,162.808,0.5,3.323,0.181,1.294,2.25,54.321,-8.697,0.417,0.011,0.155
No,SPDR BLOOMBERG SHORT TERM HI,Bolsa Mexican de Valores,SJNK* MM Equity,State Street ETF/USA,Corporate,United States,Fixed Income,N.A.,3031.944,0.4,,-0.108,-0.082,-3.182,-6.084,-1.871,-1.323,0.663,0.497
No,ISHARES IBONDS DEC 2023 TERM,Bolsa Mexican de Valores,IBDO* MM Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,1809.228,0.1,,0.241,0.016,3.017,1.848,-28.639,-1.784,0.025,-0.112
No,ISHARES MSCI EAFE GROWTH ETF,Bolsa Mexican de Valores,EFG* MM Equity,iShares ETFs/USA,International,International,Equity,N.A.,9784.546,0.36,2.025,0.398,-0.019,1.257,-14.192,-0.266,-0.615,1.127,0.699
No,ISHARES IBONDS DEC 2024 TERM,Bolsa Mexican de Valores,IBDP* MM Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,2629.25,0.1,,0.203,0.379,2.456,0.375,-33.312,-0.037,0.011,-0.566
No,UBS ETF MSCI EMU SRI EUR ACC,Bolsa Mexican de Valores,EMUSRIN MM Equity,UBS Lux Fund Solutions,Eurozone,Eurozone,Equity,Socially Responsible,1944.122,0.22,2.599,0,,0,,,,0,
No,ISHARES 5-10Y INV GRADE CORP,Bolsa Mexican de Valores,IGIB* MM Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,10948.582,0.04,,-1.303,-0.764,-15.685,-27.528,-2.734,-2.095,0.053,0.097
No,ISHARES INTERMEDIATE GOVERNM,Bolsa Mexican de Valores,GVI* MM Equity,iShares ETFs/USA,Aggregate Bond,United States,Fixed Income,N.A.,3036.548,0.2,,-0.943,-0.773,-13.982,-25.402,-2.3,-1.968,0.461,0.013
No,ISHARES S&P SMALL-CAP 600 VA,Bolsa Mexican de Valores,IJS* MM Equity,iShares ETFs/USA,Small-cap,United States,Equity,N.A.,6046.218,0.18,2.821,0.392,0.284,-5.354,24.499,-1,0.09,0.499,0.824
No,ISHARES U.S. BASIC MATERIALS,Bolsa Mexican de Valores,IYM* MM Equity,iShares ETFs/USA,Materials,United States,Equity,N.A.,636.293,0.4,2.332,0.203,0.156,-0.601,7.533,-0.459,-0.172,0.335,0.406
No,ISHARES IBONDS DEC 2025 TERM,Bolsa Mexican de Valores,IBDQ* MM Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,2201.78,0.1,,0.215,0.388,2.606,-0.209,-30.901,0.035,0.011,-0.598
No,ISHARES IBONDS DEC 2026 TERM,Bolsa Mexican de Valores,IBDR* MM Equity,iShares ETFs/USA,Corporate,Global,Fixed Income,N.A.,1812.539,0.1,,-0.769,-0.278,-13.888,-23.174,-1.471,-1.27,1.024,0.645
No,ISHRS IBNDS DEC 27 CORP ETF,Bolsa Mexican de Valores,IBDS* MM Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,1518.289,0.1,,0.233,0.144,2.826,7.406,-26.265,-4.156,0.006,0.035
No,ISHARES MSCI EAFE VALUE ETF,Bolsa Mexican de Valores,EFV* MM Equity,iShares ETFs/USA,International,International,Equity,N.A.,16484.512,0.34,4.875,0.092,0.325,9.845,14.844,-0.112,-0.086,1.036,0.424
No,ISHARES MSCI USA SMALL CAP E,Bolsa Mexican de Valores,CUSSN MM Equity,iShares ETFs/Ireland,US,United States,Equity,ESG,1231.033,0.43,1.713,-0.187,0.383,-7.047,11.72,-1.162,-0.125,0.254,0.634
No,ISHARES MSCI SWITZERLAND ETF,Bolsa Mexican de Valores,EWL* MM Equity,iShares ETFs/USA,Switzerland,Switzerland,Equity,N.A.,1166.068,0.5,3.152,-0.01,0.002,2.928,-8.173,-0.828,-0.53,0.952,1.005
No,ISHARES MSCI ISRAEL ETF,Bolsa Mexican de Valores,EIS* MM Equity,iShares ETFs/USA,Israel,Israel,Equity,N.A.,115.997,0.58,3.268,-2.233,-0.147,-24.514,-9.844,-1.235,-0.411,-0.089,-0.131
No,ISHARES S&P 500 VALUE ETF,Bolsa Mexican de Valores,IVE* MM Equity,iShares ETFs/USA,Large-cap,United States,Equity,N.A.,23988.27,0.18,2.017,0.034,0.127,2.305,21.112,-1.412,0.021,0.515,0.806
No,INVESCO INDIA EXCHANGE-TRADE,Bolsa Mexican de Valores,PIN* MM Equity,Invesco ETFs/USA,India,India,Equity,N.A.,173.541,0.78,1.383,1.119,0.68,13.446,22.654,0.205,-0.095,-0.447,-0.1
No,ISHARES EDGE MSCI EM MIN VOL,Bolsa Mexican de Valores,EMMVN MM Equity,iShares ETFs/Ireland,Emerging Markets,International,Equity,N.A.,275.727,0.4,2.519,-1.763,-0.363,-20.933,-14.423,-1.466,-0.936,-0.083,-0.029
No,ISHARES MSCI EM ACC,Bolsa Mexican de Valores,IEMAN MM Equity,iShares ETFs/Ireland,Emerging Markets,Global,Equity,N.A.,2224.032,0.18,2.339,-1.346,-0.071,-16.317,-12.921,-1.693,-0.509,-0.14,0.202
No,ISHARES MSCI CHINA A ETF,Bolsa Mexican de Valores,CNYAU* MM Equity,iShares ETFs/USA,China,China,Equity,China A Share,232.979,0.6,,-2.196,-1.034,-24.272,-35.66,-1.252,-1.165,-0.347,0.039
No,AMUNDI S&P 500 UCITS ETF,Bolsa Mexican de Valores,500UN MM Equity,Amundi ETFs/France,US,United States,Equity,N.A.,6586.816,0.15,1.711,0.134,0.427,1.596,15.341,-6.299,-0.138,-0.041,0.15
No,ISHARES MSCI CHINA ETF,Bolsa Mexican de Valores,MCHI* MM Equity,iShares ETFs/USA,China,China,Equity,N.A.,6474.046,0.58,2.256,-0.112,0.004,3.545,-52.33,0.112,-0.882,1.044,1.01
No,ISHARES 1-3 YEAR TREASURY BO,Bolsa Mexican de Valores,SHY* MM Equity,iShares ETFs/USA,Government,United States,Fixed Income,N.A.,27295.35,0.15,,-0.049,-0.021,-7.835,-19.672,-2.143,-1.698,0.983,0.982
No,X US TREASURIES 1-3 1C,Bolsa Mexican de Valores,XUS1XN MM Equity,Xtrackers II/Luxembourg,Government,United States,Fixed Income,N.A.,160.014,0.07,,0,,0,,,,0,
No,X US TREASURIES 1C,Bolsa Mexican de Valores,XUSTXN MM Equity,Xtrackers II/Luxembourg,Government,United States,Fixed Income,N.A.,3282.585,0.07,,-0.202,,-11.385,,-2.919,,0.754,
No,X NASDAQ 100 1C,Bolsa Mexican de Valores,XNASN MM Equity,Xtrackers IE Plc/Ireland,N.A.,"North American Region,United States",Equity,N.A.,408.213,0.2,0.886,-0.402,,-6.004,,-1.801,,-0.058,
No,X USD CORP GREEN BOND 2C,Bolsa Mexican de Valores,XGBUN MM Equity,Xtrackers IE Plc/Ireland,Corporate,N.A.,Fixed Income,ESG,177.031,0.25,,0,,0,,,,0,
No,X COMDTY EX AGRI SWP 2C,Bolsa Mexican de Valores,XBCUN MM Equity,Xtrackers/Luxembourg,Broad Based,Global,Commodity,N.A.,336.862,0.29,,0,,0,,,,0,
No,ISHARES MSCI EMR MRK EX CHNA,Bolsa Mexican de Valores,EMXC1* MM Equity,iShares ETFs/USA,Emerging Markets,International,Equity,N.A.,6984.826,0.25,2.32,-1.628,,-19.664,,-1.858,,0.431,
No,WT AT1 COCO UCITS ETF USD,Bolsa Mexican de Valores,COCBN MM Equity,WisdomTree ETFs/Ireland,N.A.,European Region,Fixed Income,ESG,243.846,0.39,,0,,0,,,,0,
No,X USD HY CORP BOND 1C,Bolsa Mexican de Valores,XUHAXN MM Equity,Xtrackers IE Plc/Ireland,Corporate,United States,Fixed Income,N.A.,370.948,0.2,,0,,0,,,,0,
No,WT CYBERSECURITY-USD ACC,Bolsa Mexican de Valores,WCBR1N MM Equity,WisdomTree ETFs/Ireland,Technology,United States,Equity,ESG,104.772,0.45,0.172,0,,0,,,,0,
No,ISHARES US PHARMACEUTICALS E,Bolsa Mexican de Valores,IHE* MM Equity,iShares ETFs/USA,Health Care,United States,Equity,N.A.,545.358,0.4,2.108,-0.196,-0.041,-8.682,-4.489,-1.454,-0.834,0.412,0.369
No,ISHARES USD TRES BOND 7-10Y,Bolsa Mexican de Valores,CBU0N MM Equity,iShares ETFs/Ireland,Government,United States,Fixed Income,N.A.,3522.707,0.07,,0.189,,-11.188,-33.624,-2.221,-1.866,1.031,
No,ISHARES CORE S&P 500 ETF,Bolsa Mexican de Valores,IVV* MM Equity,iShares ETFs/USA,Large-cap,United States,Equity,N.A.,351685.406,0.03,1.604,-0.02,0.02,5.624,11.238,-1.246,-0.157,0.895,0.984
No,ISHR HEALTHCARE INNOVATION,Bolsa Mexican de Valores,HEALN MM Equity,iShares ETFs/Ireland,Health Care,Global,Equity,ESG,979.596,0.4,0.792,0.982,-0.013,-19.606,-37.372,-1.497,-1.116,1.127,0.936
No,WISDOMTREE FLOATING RATE TRE,Bolsa Mexican de Valores,USFR* MM Equity,WisdomTree ETFs/USA,Government,United States,Fixed Income,N.A.,18858.59,0.15,,-0.094,,-4.425,-8.896,-2.108,-1.58,0.908,
No,ISHARES MSCI JAPAN USD ACC,Bolsa Mexican de Valores,CJPUN MM Equity,iShares ETFs/Ireland,Japan,Japan,Equity,N.A.,461.418,0.48,2.264,-0.076,-0.081,6.807,-13.39,-0.258,-0.842,1.296,0.828
No,VANECK VIETNAM ETF,Bolsa Mexican de Valores,VNM* MM Equity,VanEck ETFs/USA,Vietnam,Vietnam,Equity,N.A.,518.959,0.66,2.371,-2.135,-0.38,-25.043,-23.881,-1.147,-0.613,-0.585,0.192
No,ISHARES MSCI ACWI,Bolsa Mexican de Valores,ISACN MM Equity,iShares ETFs/Ireland,Global,Global,Equity,N.A.,8886.345,0.2,2.152,0.05,0.043,3.017,3.325,-0.982,-0.453,0.767,0.796
No,BNP MSCI EMERGING SRI PAB,Bolsa Mexican de Valores,EMSRN MM Equity,BNP Paribas Asset Management Luxembourg SA,Emerging Markets,Global,Equity,Socially Responsible,945.027,0.3,4.193,0,,0,,,,0,
No,BNP MSCI JAPAN SRI PAB 5%,Bolsa Mexican de Valores,SRIJCN MM Equity,BNP Paribas Asset Management Luxembourg SA,Japan,Japan,Equity,"Socially Responsible,Environmentally Friendly,ESG",703.81,0.25,1.823,0,,0,,,,0,
No,BNP MSCI USA SRI PAB 5%,Bolsa Mexican de Valores,EKLDN MM Equity,BNP Paribas Asset Management Luxembourg SA,US,United States,Equity,Socially Responsible,3445.267,0.25,1.849,0,,0,,,,0,
No,BNP MSCI WORLD SRI PAB 5%,Bolsa Mexican de Valores,EWRDN MM Equity,BNP Paribas Asset Management Luxembourg SA,Global,Global,Equity,Socially Responsible,1570.713,0.25,2.187,0,,0,,,,0,
No,BNP MSCI EUROPE SRI PAB 5%,Bolsa Mexican de Valores,SRIECN MM Equity,BNP Paribas Asset Management Luxembourg SA,European Region,European Region,Equity,"Socially Responsible,Environmentally Friendly,ESG",1572.934,0.25,3.373,0,,0,,,,0,
No,ISHARES PARIS - ALIG CLI MUE,Bolsa Mexican de Valores,PABU1* MM Equity,iShares ETFs/USA,Large-cap,United States,Equity,Climate Change,1394.633,0.1,1.256,0.094,,1.122,,-21.27,,-0.018,
No,ISHARES BLOOMBERG ENHANCED R,Bolsa Mexican de Valores,ROLLN MM Equity,iShares ETFs/Ireland,Broad Based,Global,Commodity,N.A.,1452.17,0.28,,0,,0,,,,0,
No,VANECK SEMICONDUCTOR ETF,Bolsa Mexican de Valores,SMHUN MM Equity,VanEck ETFs/Ireland,Technology,United States,Equity,ESG,1002.533,0.35,1.385,2.036,,42.394,,1.454,,0.416,
No,ISHARES GSCI COMMODITY DYNAM,Bolsa Mexican de Valores,COMT* MM Equity,iShares ETFs/USA,Broad Based,Global,Commodity,N.A.,804.332,0.48,47.139,-0.491,,-18.204,,-1.716,,1.096,
No,ISHARES BLOOMBERG ROLL SELEC,Bolsa Mexican de Valores,CMDY* MM Equity,iShares ETFs/USA,Broad Based,Global,Commodity,N.A.,292.869,0.28,,-2.177,,-29.222,,-2.651,,0.535,
No,GLOBAL X SILVER MINERS ETF,Bolsa Mexican de Valores,SIL* MM Equity,Global X ETFs/USA,Materials,Global,Equity,N.A.,858.068,0.65,1.566,0.203,0.16,-10.262,-51.753,-0.543,-0.781,1.057,1.017
No,DIREXION DAILY FIN BULL 3X,Bolsa Mexican de Valores,FAS* MM Equity,Direxion ETFs/USA,Financial,United States,Equity,N.A.,1623.354,0.95,1.359,0.411,0.371,-21.905,35.952,-0.686,0.435,2.975,3.121
No,VANGUARD LONG-TERM BOND ETF,Bolsa Mexican de Valores,BLV* MM Equity,Vanguard ETF/USA,Aggregate Bond,United States,Fixed Income,N.A.,5243.252,0.04,,1.092,-0.149,13.187,-25.309,0.211,-1.058,0.017,0.376
No,SPDR S&P GL NAT RESOURCES,Bolsa Mexican de Valores,GNR* MM Equity,State Street ETF/USA,Thematic,Global,Equity,Natural Resources,3719.999,0.4,4.452,-0.052,,-0.969,,-0.733,,-0.112,
No,ISH USD CORP 0-3YR ESG USD A,Bolsa Mexican de Valores,IUOAN MM Equity,iShares ETFs/Ireland,Corporate,United States,Fixed Income,Socially Responsible,1120.142,0.12,,0.015,,-5.244,,-1.811,,1.021,
No,ISHARES GLB CLN ENERGY USD A,Bolsa Mexican de Valores,INRAN MM Equity,iShares ETFs/Ireland,Energy,Global,Equity,"Clean Energy,Environmentally Friendly",3505.35,0.65,1.267,-0.588,,-38.617,,-2.917,,0.864,
No,GOLDMAN SACHS PHYSICAL GOLD,Bolsa Mexican de Valores,AAAU* MM Equity,Goldman Sachs ETF Trust,Precious Metals,Global,Commodity,N.A.,547.684,0.18,,-0.937,,-10.763,,-2.069,,0.039,
No,INVESCO S&P 500 QVM MULTI-FA,Bolsa Mexican de Valores,QVML* MM Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,815.362,0.11,1.586,0.122,,1.49,,-15.967,,-0.015,
No,INVESCO S&P 500 LOW VOLATILI,Bolsa Mexican de Valores,SPLV* MM Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,8021.304,0.25,2.543,-0.389,,-11.877,,-2.892,,0.538,
No,PROSHARES ULTRA DOW30,Bolsa Mexican de Valores,DDM* MM Equity,ProShares ETFs/USA,Large-cap,United States,Equity,N.A.,325.377,0.95,2.14,-0.626,0.151,-6.286,24.295,-1.419,0.081,0.926,1.693
